timestamp,cpu_usage,memory_usage,load_avg
2025-10-24 19:15:40,39.6,1.89,21.19
2025-10-24 19:15:55,46.5,1.89,22.23
2025-10-24 19:16:10,49.3,1.90,22.65
2025-10-24 19:16:26,49.9,1.90,23.98
2025-10-24 19:16:41,47.8,1.90,24.96
2025-10-24 19:16:56,47.9,1.89,25.02
2025-10-24 19:17:11,47.8,1.87,25.02
2025-10-24 19:17:26,45.7,1.89,24.37
2025-10-24 19:17:42,45.5,1.90,23.20
2025-10-24 19:17:57,45.9,1.90,22.50
2025-10-24 19:18:12,45.9,1.89,22.31
2025-10-24 19:18:27,44.5,1.88,21.57
2025-10-24 19:18:43,41.0,1.89,20.92
2025-10-24 19:18:58,38.6,1.86,20.23
2025-10-24 19:19:13,39.0,1.87,20.04
2025-10-24 19:19:28,32.4,1.84,19.07
2025-10-24 19:19:43,32.6,1.84,18.02
2025-10-24 19:19:59,29.9,1.85,17.14
2025-10-24 19:20:14,32.6,1.89,16.16
2025-10-24 19:20:29,25.5,1.87,15.46
2025-10-24 19:20:44,19.8,1.88,14.25
2025-10-24 19:20:59,19.7,1.82,13.26
2025-10-24 19:21:15,16.3,1.81,12.17
2025-10-24 19:21:30,17.4,1.82,11.16
2025-10-24 19:21:45,16.3,1.81,10.30
2025-10-24 19:22:00,16.7,1.82,9.66
2025-10-24 19:22:15,10.4,1.79,8.62
2025-10-24 19:22:31,10.0,1.79,7.44
2025-10-24 19:22:46,9.9,1.79,6.62
2025-10-24 19:23:01,9.0,1.77,6.10
2025-10-24 19:23:16,11.1,1.78,5.72
2025-10-24 19:23:31,8.3,1.77,5.28
2025-10-24 19:23:47,10.9,1.78,5.01
2025-10-24 19:24:02,10.2,1.78,5.00
2025-10-24 19:24:17,10.8,1.78,5.38
2025-10-24 19:24:32,11.4,1.78,5.37
2025-10-24 19:24:47,10.7,1.78,5.51
2025-10-24 19:25:03,12.0,1.76,5.39
2025-10-24 19:25:18,11.8,1.80,5.23
2025-10-24 19:25:33,11.7,1.80,5.47
2025-10-24 19:25:48,12.5,1.82,5.52
2025-10-24 19:26:04,12.5,1.77,5.66
2025-10-24 19:26:19,12.5,1.77,5.68
2025-10-24 19:26:34,11.2,1.76,5.24
2025-10-24 19:26:49,10.2,1.78,5.27
2025-10-24 19:27:04,11.2,1.78,5.28
2025-10-24 19:27:20,11.7,1.79,5.34
2025-10-24 19:27:35,12.3,1.78,5.33
2025-10-24 19:27:50,11.3,1.79,4.96
2025-10-24 19:28:05,10.2,1.78,4.60
2025-10-24 19:28:20,12.2,1.79,4.39
2025-10-24 19:28:36,10.3,1.78,4.53
2025-10-24 19:28:51,10.6,1.78,4.73
2025-10-24 19:29:06,11.0,1.78,4.94
2025-10-24 19:29:21,10.1,1.78,5.13
2025-10-24 19:29:36,9.7,1.78,5.18
2025-10-24 19:29:52,10.5,1.78,5.09
2025-10-24 19:30:07,12.0,1.76,4.77
2025-10-24 19:30:22,11.9,1.80,4.97
2025-10-24 19:30:37,11.3,1.81,5.02
2025-10-24 19:30:53,11.6,1.81,4.95
2025-10-24 19:31:08,10.8,1.79,4.96
2025-10-24 19:31:23,9.9,1.78,4.89
2025-10-24 19:31:38,11.6,1.78,4.69
2025-10-24 19:31:53,10.4,1.80,4.76
2025-10-24 19:32:09,11.4,1.78,5.10
2025-10-24 19:32:24,10.5,1.78,5.30
2025-10-24 19:32:39,11.4,1.78,5.48
2025-10-24 19:32:54,11.5,1.79,5.66
2025-10-24 19:33:09,11.4,1.78,5.60
2025-10-24 19:33:25,11.4,1.78,5.48
2025-10-24 19:33:40,10.6,1.79,5.15
2025-10-24 19:33:55,9.9,1.79,4.89
2025-10-24 19:34:10,11.2,1.78,5.35
2025-10-24 19:34:25,11.2,1.76,5.49
2025-10-24 19:34:41,11.8,1.78,5.45
2025-10-24 19:34:56,11.7,1.77,5.19
2025-10-24 19:35:11,10.5,1.79,5.47
2025-10-24 19:35:26,9.6,1.81,5.29
2025-10-24 19:35:41,11.2,1.82,5.29
2025-10-24 19:35:57,10.2,1.78,5.24
2025-10-24 19:36:12,11.5,1.79,5.04
2025-10-24 19:36:27,9.6,1.78,4.90
2025-10-24 19:36:42,11.2,1.79,4.83
2025-10-24 19:36:58,11.0,1.78,4.57
2025-10-24 19:37:13,11.3,1.78,4.36
2025-10-24 19:37:28,10.9,1.79,4.79
2025-10-24 19:37:43,11.7,1.79,4.77
2025-10-24 19:37:58,11.6,1.80,4.46
2025-10-24 19:38:14,11.3,1.78,4.65
2025-10-24 19:38:29,10.8,1.78,4.43
2025-10-24 19:38:44,11.5,1.77,4.40
2025-10-24 19:38:59,11.3,1.77,4.66
2025-10-24 19:39:14,9.9,1.77,4.59
2025-10-24 19:39:30,7.5,1.77,4.30
2025-10-24 19:39:45,7.6,1.77,4.07
2025-10-24 19:40:00,7.3,1.76,4.05
2025-10-24 19:40:15,7.6,1.79,3.96
2025-10-24 19:40:30,7.9,1.80,3.81
2025-10-24 19:40:46,7.1,1.81,3.71
2025-10-24 19:41:01,7.7,1.78,3.47
2025-10-24 19:41:16,7.5,1.78,3.42
2025-10-24 19:41:31,7.0,1.77,3.33
2025-10-24 19:41:47,7.0,1.77,3.26
2025-10-24 19:42:02,7.8,1.76,3.37
2025-10-24 19:42:17,3.9,1.75,3.13
2025-10-24 19:42:32,3.9,1.74,2.73
2025-10-24 19:42:47,3.9,1.74,2.74
2025-10-24 19:43:03,2.9,1.73,2.64
